,attributes.canonicalTitle,attributes.startDate,attributes.endDate,attributes.posterImage.tiny,attributes.posterImage.medium,attributes.posterImage.original,attributes.coverImage,relationships.categories.links.self,relationships.categories.links.related
0,Beet the Vandel Buster,2004-09-30,2005-09-29,https://media.kitsu.io/anime/poster_images/5/tiny.jpg?1597690768,https://media.kitsu.io/anime/poster_images/5/medium.jpg?1597690768,https://media.kitsu.io/anime/poster_images/5/original.jpg?1597690768,,https://kitsu.io/api/edge/anime/5/relationships/categories,https://kitsu.io/api/edge/anime/5/categories
1,Eyeshield 21,2005-04-06,2008-03-19,https://media.kitsu.io/anime/poster_images/6/tiny.jpg?1597698823,https://media.kitsu.io/anime/poster_images/6/medium.jpg?1597698823,https://media.kitsu.io/anime/poster_images/6/original.jpg?1597698823,,https://kitsu.io/api/edge/anime/6/relationships/categories,https://kitsu.io/api/edge/anime/6/categories
2,Honey and Clover,2005-04-15,2005-09-27,https://media.kitsu.io/anime/poster_images/7/tiny.jpg?1597697102,https://media.kitsu.io/anime/poster_images/7/medium.jpg?1597697102,https://media.kitsu.io/anime/poster_images/7/original.jpg?1597697102,,https://kitsu.io/api/edge/anime/7/relationships/categories,https://kitsu.io/api/edge/anime/7/categories
3,Hungry Heart: Wild Striker,2002-09-11,2003-09-10,https://media.kitsu.io/anime/poster_images/8/tiny.jpg?1597604242,https://media.kitsu.io/anime/poster_images/8/medium.jpg?1597604242,https://media.kitsu.io/anime/poster_images/8/original.jpg?1597604242,,https://kitsu.io/api/edge/anime/8/relationships/categories,https://kitsu.io/api/edge/anime/8/categories
4,Initial D Fourth Stage,2004-04-17,2006-02-18,https://media.kitsu.io/anime/poster_images/9/tiny.jpg?1597604243,https://media.kitsu.io/anime/poster_images/9/medium.jpg?1597604243,https://media.kitsu.io/anime/poster_images/9/original.jpeg?1597604243,,https://kitsu.io/api/edge/anime/9/relationships/categories,https://kitsu.io/api/edge/anime/9/categories
